Ontology,Input,Operazione,Esito,Costrutto,Messaggio
approximated_kb-owl-syntax-coreference-IDs-cardinalities-triggers-constant-classes-value-nominals.ofn,MIS_128,parse,OK,,
approximated_kb-owl-syntax-coreference-IDs-cardinalities-triggers-constant-classes-value-nominals.ofn,functional,render,OK,,
approximated_kb-owl-syntax-coreference-IDs-cardinalities-triggers-constant-classes-value-nominals.ofn,std,parse,OK,,
approximated_kb-owl-syntax-unraveled-depth-1-cardinalities-disjointness-triggers-constant-classes-value-nominals.ofn,MIS_128,parse,OK,,
approximated_kb-owl-syntax-unraveled-depth-1-cardinalities-disjointness-triggers-constant-classes-value-nominals.ofn,functional,render,OK,,
approximated_kb-owl-syntax-unraveled-depth-1-cardinalities-disjointness-triggers-constant-classes-value-nominals.ofn,std,parse,OK,,
approximated_kb-owl-syntax-unraveled-depth-3-constant-classes-value-nominals.ofn,MIS_128,parse,OK,,
approximated_kb-owl-syntax-unraveled-depth-3-constant-classes-value-nominals.ofn,functional,render,OK,,
approximated_kb-owl-syntax-unraveled-depth-3-constant-classes-value-nominals.ofn,std,parse,OK,,
approximated_kb-owl-syntax-unraveled-depth-3-km-relevant-cardinalities-triggers-constant-classes-value-nominals.ofn,MIS_128,parse,OK,,
approximated_kb-owl-syntax-unraveled-depth-3-km-relevant-cardinalities-triggers-constant-classes-value-nominals.ofn,functional,render,OK,,
approximated_kb-owl-syntax-unraveled-depth-3-km-relevant-cardinalities-triggers-constant-classes-value-nominals.ofn,std,parse,OK,,
b7c19a22-c91c-4b51-894a-d8a8a3d2a7c0_cl.obo,MIS_128,parse,OK,,
b7c19a22-c91c-4b51-894a-d8a8a3d2a7c0_cl.obo,functional,render,OK,,
b7c19a22-c91c-4b51-894a-d8a8a3d2a7c0_cl.obo,std,parse,OK,,
c0ca4e3f-ff6b-4eac-882c-183788832e5f_citygml.owl,MIS_128,parse,OK,,
c0ca4e3f-ff6b-4eac-882c-183788832e5f_citygml.owl,functional,render,OK,,
c0ca4e3f-ff6b-4eac-882c-183788832e5f_citygml.owl,std,parse,OK,,
